order_id,order_date,product_category,quantity,unit_price,total_cost,supplier_name,supplier_location,lead_time_days,warehouse_destination,delivery_date,actual_delivery_days,delivery_status,on_time,product_defects,return_status
Ord-0081,,Connectors,41,441.26,18091.66,Suppliere,Mexico,26,Warehouse_1,2022-02-11,26,Delivered,No,0.0,No Return
Ord-0082,2022-05-31,Control Systems,50,1729.67,86483.5,Suppliera,Usa,11,Warehouse_4,2022-06-11,11,Delivered,Yes,0.0,No Return
Ord-0083,,Control Systems,34,2909.02,98906.68,Suppliera,Usa,8,Warehouse_6,2022-03-14,8,Delivered,Yes,0.0,No Return
Ord-0084,,Connectors,11,91.23,1003.53,Suppliere,Mexico,14,Warehouse_4,2023-05-04,14,Delivered,Yes,0.0,No Return
Ord-0085,,Control Systems,20,1574.3,31277.41328180631,Suppliera,Usa,12,Warehouse_3,2022-02-20,12,Delivered,Yes,0.0,No Return
Ord-0086,,Connectors,15,446.93,6703.95,Suppliere,Mexico,15,Warehouse_1,2023-05-05,30,Delivered,No,0.0,No Return
Ord-0087,,Valves,19,371.23,7053.37,Supplierc,China,36,Warehouse_1,2023-12-31,36,Delayed,Yes,4.0,Partial Return
Ord-0088,,Fasteners,69,175.67,12121.23,Suppliere,Mexico,24,Warehouse_5,2023-04-27,24,Delayed,Yes,0.0,No Return
Ord-0089,,Pumps,83,1386.61,115088.63,Supplierd,India,34,Warehouse_6,2022-11-15,41,Delivered,No,0.0,No Return
Ord-0090,,Motors,41,1783.9,73139.9,Supplierb,Germany,12,Warehouse_2,2022-09-13,12,Delivered,Yes,0.0,No Return
Ord-0091,,Connectors,38,152.78,5805.64,Supplier E,Mexico,16,Warehouse_4,,35,Delayed,No,0.0,
Ord-0092,,Control Systems,42,2605.7,109439.4,Suppliera,Usa,15,Wh_6,2023-01-06,15,Delivered,Yes,,No Return
Ord-0093,2022-11-25,Valves,24,1282.75,30786.0,Supplierc,China,33,Warehouse_3,2022-12-28,33,Delivered,Yes,0.0,No Return
Ord-0094,,Control Systems,23,3397.14,78134.22,Supplier A,Usa,6,Warehouse_1,2022-07-25,6,Delayed,Yes,0.0,No Return
Ord-0095,2023-02-11,Motors,14,2599.48,36392.72,Suppliera,Usa,5,Warehouse_4,2023-02-16,5,Delivered,Yes,0.0,No Return
Ord-0096,,Fasteners,23,182.62,3574.70075978754,Suppliere,Mexico,22,Warehouse_1,2023-12-20,22,Delivered,Yes,0.0,
Ord-0097,,Hydraulics,149,1176.1,175238.9,Supplier D,India,35,Warehouse_2,2022-11-24,48,Delivered,No,0.0,No Return
Ord-0098,,Fasteners,49,197.19,9662.31,Suppliere,Mexico,29,Warehouse_1,2022-11-26,29,Delivered,Yes,0.0,No Return
Ord-0099,,Sensors,18,1347.29,24251.22,Supplierc,China,32,Warehouse_2,2023-09-24,32,Delivered,Yes,0.0,No Return
Ord-0100,,Control Systems,16,3304.26,52868.16,Supplier A,Usa,8,Warehouse_3,2023-06-26,8,Delivered,Yes,0.0,No Return
Ord-0101,,Valves,12,1357.15,16285.8,Supplier B,Germany,14,Warehouse_3,2023-03-11,14,Delivered,Yes,0.0,No Return
Ord-0102,,Sensors,33,634.44,20936.52,Supplierc,China,40,Warehouse_1,2023-07-06,40,Delivered,Yes,0.0,No Return
Ord-0103,,Valves,33,844.86,27880.38,Supplier C,China,34,Warehouse_6,2023-08-07,34,Delievered,Yes,0.0,No Return
Ord-0104,,Sensors,7,1121.11,7847.77,Supplierc,China,33,Warehouse_3,2023-03-21,33,Delivered,Yes,0.0,No Return
Ord-0105,,Sensors,36,963.44,34683.84,Supplier B,Germany,18,Warehouse_1,2022-07-30,18,Delivered,Yes,5.0,Partial Return
Ord-0106,,Connectors,15,232.11,3481.65,Supplier E,Mexico,26,Warehouse_4,2023-11-27,33,Delayed,No,0.0,No Return
Ord-0107,,Motors,76,4611.72,350490.72,Suppliera,Usa,8,Warehouse_1,,8,Delayed,Yes,0.0,No Return
Ord-0108,,Control Systems,27,2837.99,76625.73,Suppliera,Usa,8,Warehouse_2,2023-04-20,8,Delivered,Yes,0.0,No Return
Ord-0109,,Sensors,96,724.16,69519.36,Supplierc,China,24,Warehouse_4,2023-09-09,41,Delivered,No,,No Return
Ord-0110,,Connectors,17,252.81,4297.77,Suppliere,Mexico,21,Warehouse_3,2023-08-02,21,Delivered,Yes,0.0,No Return
Ord-0111,,Pumps,19,2072.04,39368.76,Supplierd,India,22,Warehouse_3,2023-04-25,29,Delayed,No,10.0,Partial Return
Ord-0112,,Motors,31,3930.43,121843.33,Supplierb,Germany,12,Warehouse_6,2022-05-04,12,Delivered,Yes,0.0,No Return
Ord-0113,,Control Systems,57,3400.22,193812.54,Suppliera,Usa,16,Warehouse_1,,16,Delivered,Yes,0.0,No Return
Ord-0114,,Hydraulics,38,1132.54,43036.52,Supplierd,India,39,Wh_3,2023-01-08,54,Delayed,No,0.0,No Return
Ord-0115,,Valves,9,1105.52,9949.68,Supplierb,Germany,21,Warehouse_2,2023-01-10,21,Delivered,Yes,0.0,No Return
Ord-0116,,Pumps,28,2937.95,82262.6,Supplier C,China,30,Warehouse_1,2022-06-10,30,Delivered,Yes,0.0,No Return
Ord-0117,,Valves,24,761.79,18282.96,Supplier B,Germany,13,Warehouse_3,2022-09-14,13,Delivered,Yes,0.0,No Return
Ord-0118,,Motors,17,2951.79,50813.72921103577,Supplierb,Germany,12,Warehouse_2,2022-08-12,12,Delivered,Yes,0.0,No Return
Ord-0119,,Fasteners,14,147.78,2068.92,Supplier E,Mexico,27,Warehouse_1,2023-01-02,27,Delayed,Yes,0.0,No Return
Ord-0120,,Fasteners,99,193.77,19183.23,Suppliere,Mexico,24,Warehouse_3,2022-08-03,24,Delivered,Yes,0.0,No Return
Ord-0121,,Fasteners,17,196.15,3334.55,Suppliere,Mexico,16,Warehouse_1,2022-03-09,16,Delayed,Yes,0.0,No Return
Ord-0122,,Motors,12,3052.64,36631.68,Suppliera,Usa,10,Warehouse_2,2023-03-10,10,Delivered,Yes,0.0,No Return
Ord-0123,,Connectors,40,309.35,12374.0,Supplier E,Mexico,23,Warehouse_1,2023-10-26,23,Delivered,Yes,0.0,No Return
Ord-0124,,Motors,27,4595.44,124076.88,Supplierb,Germany,11,Warehouse_1,2022-04-09,11,Delayed,Yes,0.0,No Return
Ord-0125,,Control Systems,23,3954.98,90964.54,Supplier A,Usa,11,Warehouse_1,2023-04-26,11,Delayed,Yes,0.0,No Return
Ord-0126,,Pumps,45,3150.88,141789.6,Supplierc,China,29,Warehouse_3,2022-08-14,29,Delivered,Yes,0.0,No Return
Ord-0127,2022-12-16,Connectors,36,125.41,4514.76,Suppliere,Mexico,35,Warehouse_2,2023-01-20,35,Delivered,Yes,0.0,No Return
Ord-0128,,Motors,32,1465.52,46896.64,Suppliera,Usa,7,Warehouse_1,2023-04-03,7,Delivered,Yes,0.0,No Return
Ord-0129,,Connectors,53,309.56,16406.68,Suppliere,Mexico,26,Wh_3,2022-03-09,35,Delivered,No,0.0,No Return
Ord-0130,,Control Systems,30,2454.94,73774.85862421319,Suppliera,Usa,10,Warehouse_2,2023-05-04,10,Delivered,Yes,0.0,No Return
Ord-0131,,Motors,14,3987.47,55824.58,Supplier A,Usa,11,Warehouse_1,2023-12-28,11,Delivered,Yes,0.0,No Return
Ord-0132,,Control Systems,18,3612.93,65032.74,Suppliera,Usa,12,Warehouse_1,2024-01-12,20,Delayed,No,0.0,No Return
Ord-0133,,Fasteners,16,88.05,1408.8,Suppliere,Mexico,24,Warehouse_2,2023-11-30,24,Delivered,Yes,8.0,Partial Return
Ord-0134,,Motors,29,4414.22,128012.38,Supplierb,Germany,16,Warehouse_1,,16,Delivered,Yes,0.0,No Return
Ord-0135,,Fasteners,10,223.55,2213.618662897561,Suppliere,Mexico,28,Warehouse_1,2022-12-25,28,Delayed,Yes,0.0,No Return
Ord-0136,,Hydraulics,5,735.34,3676.7,Supplierd,India,34,Warehouse_1,2023-04-05,34,Delivered,Yes,0.0,No Return
Ord-0137,2022-02-02,Valves,26,881.92,22929.92,Supplier C,China,39,Warehouse_1,,39,Pendng,Yes,0.0,No Return
Ord-0138,,Motors,8,1854.55,14836.4,Suppliera,Usa,10,Warehouse_1,2022-05-28,10,Delivered,Yes,0.0,No Return
Ord-0139,,Control Systems,5,3480.14,17400.7,Suppliera,Usa,11,Warehouse_1,2022-08-17,11,Delivered,Yes,0.0,
Ord-0140,,Hydraulics,33,1647.34,54362.22,Supplierd,India,23,Warehouse_1,2023-04-04,23,Delivered,Yes,,No Return
Ord-0141,,Motors,13,3847.83,50460.09436305222,Suppliera,Usa,12,Warehouse_2,2023-08-29,12,Delivered,Yes,,No Return
Ord-0142,2023-02-11,Motors,36,3595.26,129429.36,Supplierb,Germany,13,Warehouse_1,2023-03-01,18,Delievered,No,0.0,No Return
Ord-0143,,Fasteners,16,94.78,1516.48,Suppliere,Mexico,30,Wh_4,2023-07-04,50,Delivered,No,0.0,No Return
Ord-0144,,Pumps,9,3660.59,32945.31,Supplierd,India,28,Warehouse_2,2022-08-18,28,Delivered,Yes,0.0,No Return
Ord-0145,,Connectors,9,265.39,2388.51,Suppliere,Mexico,26,Warehouse_2,,36,Delayed,No,0.0,No Return
Ord-0146,,Connectors,16,448.06,7168.96,Supplier E,Mexico,31,Warehouse_4,2023-11-25,31,Delivered,Yes,0.0,No Return
Ord-0147,,Pumps,19,3798.29,72167.51,Supplier D,India,39,Wh_5,2023-01-31,39,Delivered,Yes,0.0,No Return
Ord-0148,,Motors,12,2550.53,30606.36,Suppliera,Usa,9,Warehouse_1,2023-03-24,9,Delivered,Yes,0.0,No Return
Ord-0149,,Sensors,19,578.15,10984.85,Supplier C,China,22,Warehouse_2,2023-10-22,22,Delayed,Yes,0.0,No Return
Ord-0150,,Hydraulics,7,2063.07,14441.49,Supplier D,India,27,Wh_3,2022-11-21,27,Delivered,Yes,0.0,No Return
Ord-0151,,Valves,24,726.92,17446.08,Supplierc,China,42,Warehouse_2,,42,Delivered,Yes,0.0,No Return
Ord-0152,,Valves,5,1314.65,6573.25,Supplier C,China,32,Warehouse_2,2022-09-27,32,Delayed,Yes,0.0,No Return
Ord-0153,,Pumps,21,1306.64,27439.44,Supplier D,India,19,Warehouse_5,2022-03-25,27,Delivered,No,0.0,No Return
Ord-0154,,Control Systems,42,3665.32,153943.44,Suppliera,Usa,9,Warehouse_1,,9,Delivered,Yes,0.0,No Return
Ord-0155,,Motors,58,3233.75,187557.5,Suppliera,Usa,13,Warehouse_1,2022-12-01,13,Delivered,Yes,0.0,No Return
Ord-0156,2022-03-15,Connectors,96,421.29,40443.84,Suppliere,Mexico,19,Warehouse_2,,19,Delivered,Yes,0.0,No Return
Ord-0157,,Hydraulics,7,1540.57,10783.99,Supplierd,India,19,Warehouse_2,2022-09-14,27,Delivered,No,0.0,No Return
Ord-0158,,Sensors,45,471.58,21221.1,Supplierb,Germany,18,Warehouse_6,2022-09-12,18,Delivered,Yes,0.0,No Return
Ord-0159,2022-12-23,Motors,64,4486.64,287144.96,Supplierb,Germany,17,Warehouse_3,2023-01-09,17,Delayed,Yes,0.0,No Return
Ord-0160,2022-06-05,Hydraulics,53,1365.44,72368.32,Supplier D,India,28,Wh_2,2022-07-03,28,Delivered,Yes,0.0,No Return
Ord-0161,,Hydraulics,11,2290.66,25197.26,Supplierd,India,23,Warehouse_1,2023-03-22,23,Cancelled,Yes,0.0,No Return
Ord-0162,,Control Systems,34,2490.63,84681.42,Supplier A,Usa,11,Warehouse_3,2023-05-06,11,Delivered,Yes,0.0,No Return
Ord-0163,,Connectors,108,310.97,33584.76,Suppliere,Mexico,17,Warehouse_1,2022-06-24,17,Delivered,Yes,4.0,Full Return
Ord-0164,2022-03-28,Connectors,7,147.64,1033.48,Suppliere,Mexico,27,Warehouse_3,,32,Delivered,No,0.0,No Return
Ord-0165,,Motors,35,3905.26,136684.1,Supplier B,Germany,11,Warehouse_2,2023-05-18,11,Delivered,Yes,0.0,No Return
Ord-0166,,Valves,59,1198.95,70738.05,Supplierb,Germany,16,Warehouse_1,2022-03-12,16,Delivered,Yes,0.0,No Return
Ord-0167,,Connectors,14,370.02,5180.28,Suppliere,Mexico,24,Wh_2,2023-09-21,40,Delivered,No,0.0,No Return
Ord-0168,2023-03-05,Sensors,39,668.96,26089.44,Supplierc,China,33,Warehouse_1,2023-04-07,33,Delayed,Yes,0.0,No Return
Ord-0169,,Sensors,10,698.61,6986.1,Supplierc,China,41,Warehouse_1,2022-09-03,57,Delivered,No,0.0,No Return
Ord-0170,,Control Systems,12,4158.2,49898.4,Supplier A,Usa,15,Warehouse_3,,15,Delivered,Yes,0.0,No Return
Ord-0171,,Pumps,12,952.18,11426.16,Supplierd,India,28,Warehouse_1,,28,Delivered,Yes,0.0,
Ord-0172,,Motors,28,2070.26,57967.28,Supplierb,Germany,8,Warehouse_2,,8,Delivered,Yes,0.0,No Return
Ord-0173,,Control Systems,22,3680.09,80961.98,Suppliera,Usa,9,Warehouse_5,2023-07-09,9,Delivered,Yes,0.0,No Return
Ord-0174,,Motors,52,2350.65,122233.8,Supplier B,Germany,15,Warehouse_2,2023-03-04,15,Delivered,Yes,0.0,No Return
Ord-0175,,Sensors,11,617.21,6789.31,Supplier C,China,36,Warehouse_1,2022-11-14,36,Delivered,Yes,0.0,No Return
Ord-0176,,Motors,22,1835.11,40372.42,Supplier B,Germany,15,Warehouse_4,2024-01-14,15,Delivered,Yes,0.0,No Return
Ord-0177,,Control Systems,52,1680.33,87495.30076504484,Suppliera,Usa,8,Warehouse_2,2022-08-15,8,Delivered,Yes,0.0,No Return
Ord-0178,2023-10-27,Sensors,38,1074.52,40831.76,Supplierc,China,46,Warehouse_2,2023-12-12,46,Delivered,Yes,0.0,No Return
Ord-0179,,Motors,8,1699.54,13596.32,Supplier B,Germany,14,Warehouse_3,2022-12-13,14,Delayed,Yes,0.0,No Return
Ord-0180,,Pumps,41,1401.81,57474.21,Supplierc,China,30,Warehouse_4,2023-09-14,30,Delivered,Yes,0.0,No Return
Ord-0181,,Hydraulics,16,2541.45,40663.2,Supplier D,India,32,Warehouse_4,2022-04-16,32,Delayed,Yes,,No Return
Ord-0182,,Valves,33,1080.91,35670.03,Supplierb,Germany,14,Wh_1,2022-11-14,14,Delivered,Yes,0.0,No Return
Ord-0183,,Connectors,31,206.89,6413.59,Suppliere,Mexico,25,Warehouse_2,,44,Delayed,No,0.0,No Return
Ord-0184,,Valves,65,1084.59,70498.35,Supplierc,China,35,Warehouse_1,2022-08-21,35,Delivered,No,0.0,No Return
Ord-0185,,Hydraulics,26,1914.99,49789.74,Supplierd,India,29,Warehouse_4,2023-01-27,45,Delayed,No,0.0,No Return
Ord-0186,2022-06-23,Sensors,5,816.52,4082.6,Supplierb,Germany,17,Warehouse_3,,17,Delivered,Yes,0.0,No Return
Ord-0187,,Connectors,8,228.73,1829.84,Supplier E,Mexico,21,Warehouse_1,2022-08-19,26,Delivered,No,2.0,Partial Return
Ord-0188,,Fasteners,44,55.94,2461.36,Suppliere,Mexico,16,Warehouse_3,2023-02-11,16,Delivered,Yes,0.0,No Return
Ord-0189,,Motors,19,4739.9,90058.1,Suppliera,Usa,6,Warehouse_1,2023-04-20,6,Delayed,Yes,0.0,No Return
Ord-0190,,Motors,60,3692.87,221572.2,Supplier A,Usa,11,Warehouse_4,2022-01-19,11,Delivered,Yes,0.0,No Return
Ord-0191,,Motors,30,3743.37,112301.1,Supplierb,Germany,12,Warehouse_1,,12,Delivered,Yes,0.0,No Return
Ord-0192,,Pumps,13,1853.25,24092.25,Supplierd,India,25,Wh_1,2022-09-25,31,Delayed,No,0.0,No Return
Ord-0193,2023-02-22,Fasteners,58,93.61,5429.38,Suppliere,Mexico,14,Warehouse_1,2023-03-08,14,Delayed,Yes,0.0,No Return
Ord-0194,,Hydraulics,12,1835.93,22031.16,Supplierd,India,27,Warehouse_6,2022-08-30,27,Delivered,Yes,0.0,No Return
Ord-0195,2023-02-09,Sensors,5,1101.14,5505.7,Supplierb,Germany,15,Wh_5,2023-02-24,15,Delayed,Yes,0.0,No Return
Ord-0196,,Pumps,127,1316.61,167209.47,Supplier D,India,25,Warehouse_4,2023-12-04,25,Delivered,Yes,0.0,No Return
Ord-0197,,Motors,5,4473.26,22366.3,Suppliera,Usa,11,Warehouse_1,2023-01-22,11,Delivered,Yes,0.0,No Return
